Title,Artist Name,Year Created,Url,Refrence No
Lizard Canaries (1878),"W. A . Blakston (English, 19th Century)",1878,https://artvee.com/dl/lizard-canaries-2/,701277an.jpg
Lekande apor,"Nils Dardel (Swedish, 1888-1943)",None,https://artvee.com/dl/lekande-apor/,706584an.jpg
Turdus Naumanni,"Johann Friedrich Naumann (German, 1780 – 1857)",None,https://artvee.com/dl/turdus-naumanni/,701847an.jpg
Butterfly (1896),"Albert Bierstadt (American, 1830-1902)",1896,https://artvee.com/dl/butterfly-3/,704761an.jpg
"Buffalo Bull, in Snow Drift (1844)","George Catlin (American, 1796 - 1872)",1844,https://artvee.com/dl/buffalo-bull-in-snow-drift/,229199fg.jpg
"A Gazelle In Profile, Moving Toward The Right (early 15th century)","Circle of Michelino da Besozzo (Italian, c. 1370-c. 1455)",early 15th century,https://artvee.com/dl/a-gazelle-in-profile-moving-toward-the-right/,704281an.jpg
Ruffed Grouse (1882),"Edwin L. Sheppard (American, ?-1904)",1882,https://artvee.com/dl/ruffed-grouse-2/,706469an.jpg
Tiger on the Alert,"Wilhelm Kuhnert (German, 1865-1926)",None,https://artvee.com/dl/tiger-on-the-alert/,703744an.jpg
Die Nordamerikanische Vogelwelt pl08 (1891),"Robert Ridgway (American, 1850 – 1929)",1891,https://artvee.com/dl/die-nordamerikanische-vogelwelt-pl08/,705990an.jpg
Gämsen von Adler verfolgt,"Moritz Müller (German, 1841 - 1899)",None,https://artvee.com/dl/gamsen-von-adler-verfolgt/,701243an.jpg
"Chocas, Mbatarás, Papa-formigas, Vira-folhas (1900-1906)","Emil August Göldi (Swiss, 1859-1917)",1900-1906,https://artvee.com/dl/chocas-mbataras-papa-formigas-vira-folhas/,703504an.jpg
Tiger’s Head (ca. 1874),"Abbott Handerson Thayer (American, 1849-1921)",ca. 1874,https://artvee.com/dl/tigers-head/,702203an.jpg
Le Bonnet Chinois (1797),"Jean-Baptiste Audebert (French, 1759-1800)",1797,https://artvee.com/dl/le-bonnet-chinois/,705279an.jpg
