Title,Artist Name,Year Created,Url,Refrence No
Joan of Arc’s Death at the Stake (1843),"Hermann Stilke (German, 1803-1860)",1843,https://artvee.com/dl/joan-of-arcs-death-at-the-stake/,239497fg.jpg
Preparing for a nightmare (1859),"Frederick Smallfield (American, 1829-1915)",1859,https://artvee.com/dl/preparing-for-a-nightmare/,243988fg.jpg
A Man Trying to embrace a Woman,"Carel de Moor (Dutch, 1656-1738)",None,https://artvee.com/dl/a-man-trying-to-embrace-a-woman/,200340fg.jpg
In Gedenken (1860),Carl Stauber,1860,https://artvee.com/dl/in-gedenken/,242961fg.jpg
In the mosque (1871),"Gustave Boulanger (French, 1824-1888)",1871,https://artvee.com/dl/in-the-mosque/,201220fg.jpg
André Bénac (1936),"Édouard Vuillard (French, 1868-1940)",1936,https://artvee.com/dl/andre-benac/,243023fg.jpg
Theater Audience,"Honoré Daumier (French, 1808-1879)",None,https://artvee.com/dl/theater-audience/,210331fg.jpg
Portrait of Luke Wadding (1650s),"Carlo Maratti (Italian, 1625-1713)",1650s,https://artvee.com/dl/portrait-of-luke-wadding/,245537fg.jpg
"The Last Defenders of Missolonghi, 22 April 1826; an episode from the Greek War of Independence (1826)","Joseph-Denis Odevaere (Flemish, 1775 – 1830)",1826,https://artvee.com/dl/the-last-defenders-of-missolonghi-22-april-1826-an-episode-from-the-greek-war-of-independence/,801075ht.jpg
Bauernmädchen (Peasant Girl) (1897),"Wilhelm Leibl (German, 1844-1900)",1897,https://artvee.com/dl/bauernmadchen-peasant-girl/,226507fg.jpg
A Guardroom Interior With Four Figures Drinking And Playing Cards,"Gerard ter Borch (Dutch, 1617-1681)",None,https://artvee.com/dl/a-guardroom-interior-with-four-figures-drinking-and-playing-cards/,226772fg.jpg
Socrates And Alcibiades (1910_1911),"Kristian Zahrtmann (Danish, 1834-1912)",1910_1911,https://artvee.com/dl/socrates-and-alcibiades-2/,800339ht.jpg
Joseph Wesley Harper Jr.,"Eastman Johnson (American, 1824-1906)",None,https://artvee.com/dl/joseph-wesley-harper-jr/,200522fg.jpg
Women Bathing at a Forest Pond,"Carl Spitzweg (German, 1808-1880)",None,https://artvee.com/dl/women-bathing-at-a-forest-pond/,243799fg.jpg
"Portrait Of Louis Alexandre De Bourbon, Comte De Toulouse","Jean-François de Troy (French, 1679-1752)",None,https://artvee.com/dl/portrait-of-louis-alexandre-de-bourbon-comte-de-toulouse/,205390fg.jpg
Viliam Scholtz (1914),"Jozef Hanula (Slovak, 1863-1944)",1914,https://artvee.com/dl/viliam-scholtz/,216905fg.jpg
Confrontation At The Crossing ( 1833),"James Ward (English, 1769-1859)", 1833,https://artvee.com/dl/confrontation-at-the-crossing/,226122fg.jpg
Portrait of Charlotte de Rothschild (1866),"Jean-Léon Gérôme (French, 1824-1904)",1866,https://artvee.com/dl/portrait-of-charlotte-de-rothschild/,245661fg.jpg
"Charles XI (1665-97), King of Sweden (1676 - 1697)","David Klöcker Ehrenstrahl (Swedish, 1628 – 1698)",1676 - 1697,https://artvee.com/dl/charles-xi-1665-97-king-of-sweden/,231342fg.jpg
Scene in a park,"Marius van der Maarel (Dutch, 1857-1921)",None,https://artvee.com/dl/scene-in-a-park/,240350fg.jpg
Name day card for Maria Mickiewiczówna (1917),"Tadeusz Makowski (Polish, 1882-1932)",1917,https://artvee.com/dl/name-day-card-for-maria-mickiewiczowna-2/,234502fg.jpg
Matilda Stoughton de Jaudenes (1794),"Gilbert Stuart (American, 1755-1828)",1794,https://artvee.com/dl/matilda-stoughton-de-jaudenes/,224753fg.jpg
"Il Corso Mascherato, Rome","Daniel Hernández Morillo (Peruvian, 1856 - 1932)",None,https://artvee.com/dl/il-corso-mascherato-rome/,203431fg.jpg
Edward Mason (between 1755 and 1760),"Paul Sandby (English, 1731-1809)",between 1755 and 1760,https://artvee.com/dl/edward-mason/,235482fg.jpg
"A Concert, The Artist’s Children and their Playmates (1887)","Otto Haslund (Danish, 1842–1917)",1887,https://artvee.com/dl/a-concert-the-artists-children-and-their-playmates/,212786fg.jpg
Elaine (1864),"John Atkinson Grimshaw (English, 1836 – 1893)",1864,https://artvee.com/dl/elaine/,203723fg.jpg
Portrait of a Man in a Red Cap (c. 1480),German School,c. 1480,https://artvee.com/dl/portrait-of-a-man-in-a-red-cap-2/,230465fg.jpg
Gone Away,"Henry Thomas Alken (English, 1785 – 1851)",None,https://artvee.com/dl/gone-away/,218230fg.jpg
"Portrait of Thomas Wyse (1791-1862), Politician, Writer and Diplomat (1846)",John Partridge,1846,https://artvee.com/dl/portrait-of-thomas-wyse-1791-1862-politician-writer-and-diplomat/,245706fg.jpg
La pâtisserie Gloppe (1889),"Jean Béraud (French, 1849-1935)",1889,https://artvee.com/dl/la-patisserie-gloppe/,221317fg.jpg
Interior of a Tavern,"Adriaen Brouwer (Flemish, ca. 1605 - 1638)",None,https://artvee.com/dl/interior-of-a-tavern/,209512fg.jpg
Pierrot und Columbine (1925-30),"Brynolf Wennerberg (Swedish, 1866-1950)",1925-30,https://artvee.com/dl/pierrot-und-columbine/,242954fg.jpg
Portrait De Vieillard,"Théodore Géricault (French, 1791-1824)",None,https://artvee.com/dl/portrait-de-vieillard/,206217fg.jpg
Ferry Boat (1666),"Adriaen van de Velde (Dutch, 1636-1672)",1666,https://artvee.com/dl/ferry-boat/,231048fg.jpg
A youth resting on a sheepskin (1884),"Thomas Benjamin Kennington (English, 1856 – 1916)",1884,https://artvee.com/dl/a-youth-resting-on-a-sheepskin/,243553fg.jpg
Rest (c. 1863),"Pierre Puvis de Chavannes (French, 1824-1898)",c. 1863,https://artvee.com/dl/rest/,202475fg.jpg
Studie i Profil fra venstre Side af en ung Pige til Maleriet Julie og Ammen (1880),"Kristian Zahrtmann (Danish, 1834-1912)",1880,https://artvee.com/dl/studie-i-profil-fra-venstre-side-af-en-ung-pige-til-maleriet-julie-og-ammen/,233726fg.jpg
Theodor Von Hörmann Malend In Taormina (1894),"Josef Engelhart (Austrian, 1864 - 1941)",1894,https://artvee.com/dl/theodor-von-hormann-malend-in-taormina/,207730fg.jpg
Mother And Child In A Dining Room Interior,"Carl Holsøe (Danish, 1863-1935)",None,https://artvee.com/dl/mother-and-child-in-a-dining-room-interior/,207108fg.jpg
The Battle of Mozhaisk (1835-1840),"Piotr Michałowski (Polish, 1800-1855)",1835-1840,https://artvee.com/dl/the-battle-of-mozhaisk/,230007fg.jpg
Theophil Hansen (Baumeister und Architekt) (1893),"Christian Griepenkerl (German, 1839 – 1916)",1893,https://artvee.com/dl/theophil-hansen-baumeister-und-architekt/,219939fg.jpg
"Portrait of Izabela née Lubomirska, Wife of Ignacy Potocki (1755–1783) (1780)","Pompeo Batoni (Italian, 1708-1787)",1780,https://artvee.com/dl/portrait-of-izabela-nee-lubomirska-wife-of-ignacy-potocki-1755-1783/,230012fg.jpg
La Culbute (The Tumble) (1766),"François-Philippe Charpentier (French, 1734 - 1817)",1766,https://artvee.com/dl/la-culbute-the-tumble/,214200fg.jpg
Tête De Femme,"Pierre-Auguste Renoir (French, 1841-1919)",None,https://artvee.com/dl/tete-de-femme-9/,227008fg.jpg
Captain Charles Sturt (circa 1853),"John Michael Crossland (Australian, 1800–1858)",circa 1853,https://artvee.com/dl/captain-charles-sturt/,235898fg.jpg
The Chesnut Seller,"Jean-Baptiste Charpentier (French, 1728–1806)",None,https://artvee.com/dl/the-chesnut-seller/,205766fg.jpg
Portrait of a Woman with a Squirrel (1565 - 1575),"Francesco Montemezzano (Italian, 1555–after 1602)",1565 - 1575,https://artvee.com/dl/portrait-of-a-woman-with-a-squirrel/,231422fg.jpg
Anna van den Corput,"Gerard van Honthorst (Dutch, 1592 – 1656)",None,https://artvee.com/dl/anna-van-den-corput/,210131fg.jpg
"Mi-Néek-Ee-Súnk-Te-Ka, Mink, a Beautiful Girl (1832)","George Catlin (American, 1796 - 1872)",1832,https://artvee.com/dl/mi-neek-ee-sunk-te-ka-mink-a-beautiful-girl/,217780fg.jpg
Manuscript Book mural in Evolution of the Book series (1896),"John White Alexander (American, 1856-1915)",1896,https://artvee.com/dl/manuscript-book-mural-in-evolution-of-the-book-series/,239253fg.jpg
Heinrich Triesch und seine Frau (1910),"Otto Friedrich (Austrian, 1862 - 1937)",1910,https://artvee.com/dl/heinrich-triesch-und-seine-frau/,223178fg.jpg
Portrait Of A Young Girl With Mirror (1882),"Adolf Joseph Grass (French, 1813-1902)",1882,https://artvee.com/dl/portrait-of-a-young-girl-with-mirror/,204888fg.jpg
The Kiss (1912),"Edward Stott (English, 1855 – 1918)",1912,https://artvee.com/dl/the-kiss-11/,224608fg.jpg
"Portrait of Franciszek Mączyński (1874–1947), architect (1902)","Olga Boznanska (Polish, 1865 – 1940)",1902,https://artvee.com/dl/portrait-of-franciszek-maczynski-1874-1947-architect/,238583fg.jpg
Portrait of a Woman (1851),"Jean-Léon Gérôme (French, 1824-1904)",1851,https://artvee.com/dl/portrait-of-a-woman-12/,201689fg.jpg
Portrait Of Lady Caroline Anne Brudenell-Bruce (D. 1824),"Mary Hoare (English, 1753-1820)",D. 1824,https://artvee.com/dl/portrait-of-lady-caroline-anne-brudenell-bruce-d-1824/,219310fg.jpg
James Duff (1800-1810),"Arthur William Devis (English, 1762–1822)",1800-1810,https://artvee.com/dl/james-duff/,242404fg.jpg
Battle Scene (circa 1646),"Philips Wouwerman (Dutch, 1619-1668)",circa 1646,https://artvee.com/dl/battle-scene-5/,202460fg.jpg
Visitation dans l’escalier de ‘Silencio’ (1921),"Maurice Denis (French, 1870-1943)",1921,https://artvee.com/dl/visitation-dans-lescalier-de-silencio/,236457fg.jpg
Omer Talon (1649),"Philippe de Champaigne (French, 1602-1674)",1649,https://artvee.com/dl/omer-talon/,202456fg.jpg
The children’s meal,"Théophile Duverger (French, 1821–1898)",None,https://artvee.com/dl/the-childrens-meal/,223210fg.jpg
Portrait of Anne of Austria (circa 1622),"Peter Paul Rubens (Flemish, 1577-1640)",circa 1622,https://artvee.com/dl/portrait-of-anne-of-austria/,204091fg.jpg
Bathers Playing with a Crab (c. 1897),"Pierre-Auguste Renoir (French, 1841-1919)",c. 1897,https://artvee.com/dl/bathers-playing-with-a-crab/,202495fg.jpg
Lady With A Parrot (1875),"Julius Leblanc Stewart (American, 1855 - 1919)",1875,https://artvee.com/dl/lady-with-a-parrot/,225584fg.jpg
The Skirmish,"Georges Washington (French, 1827-1901)",None,https://artvee.com/dl/the-skirmish/,203606fg.jpg
Awaiting The Prayer (1887),"Raphael von Ambros (Austrian, 1855-1895)",1887,https://artvee.com/dl/awaiting-the-prayer/,206118fg.jpg
Portrait of a Man in Costume (1768-70),"Jean-Honoré Fragonard (French, 1732-1806)",1768-70,https://artvee.com/dl/portrait-of-a-man-in-costume/,230617fg.jpg
