Title,Artist Name,Year Created,Url,Refrence
Les éléments de l’art arabe pl 047 (1879),"Jules Bourgoin (French, 1838-1908)",1879,https://artvee.com/dl/les-elements-de-lart-arabe-pl-047/,905026il.jpg
Various Forms of the Nimbus (1846),"Augustus Pugin (English, 1812-1852)",1846,https://artvee.com/dl/various-forms-of-the-nimbus/,904174il.jpg
"Chalice, in the Style of the Fifteenth Century, in Silver, Parcel Gilt and Enamelled (1858)","John Charles Robinson (English, 1824-1913)",1858,https://artvee.com/dl/chalice-in-the-style-of-the-fifteenth-century-in-silver-parcel-gilt-and-enamelled/,603174sl.jpg
Un coq et des liserons. (1866),"Félix Bracquemond (French, 1833-1914)",1866,https://artvee.com/dl/un-coq-et-des-liserons/,906624il.jpg
Nude youth with gold harp. (1783),"Pierre-Jean Mariette (French, 1694-1774)",1783,https://artvee.com/dl/nude-youth-with-gold-harp/,903450il.jpg
October (1917),"Julie de Graag (Dutch, 1877–1924)",1917,https://artvee.com/dl/october-7/,902488il.jpg
Salle à Manger (1920),"J.E Leleu (French, 19th century)",1920,https://artvee.com/dl/salle-a-manger-3/,902296il.jpg
Notes sur l’amour Pl 02 (1922),"Pierre Bonnard (French, 1867-1947)",1922,https://artvee.com/dl/notes-sur-lamour-pl-02/,914949il.jpg
Flower Children pl15 (1910),"Marion T. Ross (American, 1881-1937)",1910,https://artvee.com/dl/flower-children-pl15/,915371il.jpg
"Mme Heeren, Isadora Duncan (1913)","Georges Goursat (Sem) (French, 1863–1934)",1913,https://artvee.com/dl/mme-heeren-isadora-duncan/,912787il.jpg
The man behind the gun will settle this war (1898),"Udo Keppler (American, 1872 – 1956)",1898,https://artvee.com/dl/the-man-behind-the-gun-will-settle-this-war/,905618il.jpg
Parkier (parkieten) (1927),"Samuel Jessurun de Mesquita (Dutch, 1868 – 1944)",1927,https://artvee.com/dl/parkier-parkieten/,902509il.jpg
Maison Daguerre-Scene I-Violet Ray (Inez Ford) (1920 - 1921),"Helen Marguerite O'Kane (English, 1879-?)",1920 - 1921,https://artvee.com/dl/maison-daguerre-scene-i-violet-ray-inez-ford/,908922il.jpg
"N’ayez pas peur, petite ! ; Écosse XVIIIe siècle (1923)","George Barbier (French, 1882 - 1932)",1923,https://artvee.com/dl/nayez-pas-peur-petite-ecosse-xviiie-siecle/,908049il.jpg
The Marvelous Land of Oz Pl.18 (1904),"John Rea Neill (American, 1877 - 1943)",1904,https://artvee.com/dl/the-marvelous-land-of-oz-pl-18/,911608il.jpg
"Le second livre des monogrammes, marques, cachets et es libris Pl.60 (1908)","George Auriol (French, 1863–1938)",1908,https://artvee.com/dl/le-second-livre-des-monogrammes-marques-cachets-et-es-libris-pl-60/,914588il.jpg
De gierigheid (1904),"James Ensor (Belgian, 1860-1949)",1904,https://artvee.com/dl/de-gierigheid/,911823il.jpg
"Comte Charles de la Rochefoucauld, Marcel Fouquier, Pierre Wolf et Ernest La Jeunesse (1904)","Georges Goursat (Sem) (French, 1863–1934)",1904,https://artvee.com/dl/comte-charles-de-la-rochefoucauld-marcel-fouquier-pierre-wolf-et-ernest-la-jeunesse/,912530il.jpg
